,away_team,away_yds,gamekey,home_team,home_yds,week,i_home,i_away
0,TEN,209,56515,TB,210,1,0,29
1,BAL,117,56513,DEN,175,1,1,28
2,DET,246,56512,SD,404,1,2,27
3,IND,243,56504,BUF,195,1,3,20
4,KC,243,56506,HOU,334,1,4,21
5,CAR,175,56507,JAC,183,1,5,22
6,PHI,336,56517,ATL,298,1,6,25
7,MIN,231,56518,SF,165,1,7,17
8,NO,355,56511,ARI,307,1,8,18
9,NYG,193,56516,DAL,356,1,9,19
10,GB,189,56505,CHI,225,1,10,26
11,SEA,251,56509,STL,297,1,11,30
12,PIT,351,56503,NE,288,1,12,16
13,MIA,226,56510,WAS,196,1,13,31
14,CLE,231,56508,NYJ,179,1,14,24
15,CIN,269,56514,OAK,203,1,15,23
16,SF,209,56528,PIT,210,2,16,7
17,BAL,117,56531,OAK,175,2,15,28
18,MIA,246,56530,JAC,404,2,5,31
19,STL,243,56529,WAS,195,2,13,11
20,DET,243,56525,MIN,334,2,17,27
21,TB,175,56526,NO,183,2,18,0
22,ATL,336,56527,NYG,298,2,19,6
23,NYJ,231,56534,IND,165,2,20,14
24,DEN,355,56519,KC,307,2,21,1
25,HOU,193,56521,CAR,356,2,22,4
26,SD,189,56523,CIN,225,2,23,2
27,TEN,251,56524,CLE,297,2,24,29
28,DAL,351,56532,PHI,288,2,25,9
29,SEA,226,56533,GB,196,2,26,30
30,NE,231,56520,BUF,179,2,3,12
31,ARI,269,56522,CHI,203,2,10,8
32,KC,209,56550,GB,210,3,26,21
33,DEN,117,56549,DET,175,3,27,1
34,WAS,246,56535,NYG,404,3,19,13
35,TB,243,56540,HOU,195,3,4,0
36,SD,243,56541,MIN,334,3,17,2
37,PIT,175,56544,STL,183,3,11,16
38,JAC,336,56542,NE,298,3,12,5
39,CIN,231,56536,BAL,165,3,28,23
40,OAK,355,56538,CLE,307,3,24,15
41,IND,193,56545,TEN,356,3,29,20
42,SF,189,56546,ARI,225,3,8,7
43,CHI,251,56548,SEA,297,3,30,10
44,BUF,351,56547,MIA,288,3,31,3
45,NO,226,56537,CAR,196,3,22,18
46,PHI,231,56543,NYJ,179,3,14,25
47,ATL,269,56539,DAL,203,3,9,6
48,DAL,209,56564,NO,210,4,18,9
49,DET,117,56565,SEA,175,4,30,27
50,MIN,246,56562,DEN,404,4,1,17
51,NYJ,243,56552,MIA,195,4,31,14
52,NYG,243,56554,BUF,334,4,3,19
53,CLE,175,56560,SD,183,4,2,24
54,GB,336,56563,SF,298,4,7,26
55,STL,231,56561,ARI,165,4,8,11
56,BAL,355,56551,PIT,307,4,16,28
57,OAK,193,56555,CHI,356,4,10,15
58,HOU,189,56553,ATL,225,4,6,4
59,KC,251,56556,CIN,297,4,23,21
60,JAC,351,56557,IND,288,4,20,5
61,PHI,226,56559,WAS,196,4,13,25
62,CAR,231,56558,TB,179,4,0,22
63,SF,209,56578,NYG,210,5,19,7
64,PIT,117,56579,SD,175,5,2,16
65,IND,246,56566,HOU,404,5,4,20
66,NO,243,56572,PHI,195,5,25,18
67,CHI,243,56571,KC,334,5,21,10
68,SEA,175,56569,CIN,183,5,23,30
69,WAS,336,56567,ATL,298,5,6,13
70,JAC,231,56573,TB,165,5,0,5
71,CLE,355,56568,BAL,307,5,28,24
72,BUF,193,56574,TEN,356,5,29,3
73,STL,189,56570,GB,225,5,26,11
74,ARI,251,56575,DET,297,5,27,8
75,NE,351,56576,DAL,288,5,9,12
76,DEN,226,56577,OAK,196,5,15,1
77,KC,209,56585,MIN,210,6,17,21
78,CIN,117,56581,BUF,175,6,3,23
79,ATL,246,56580,NO,404,6,18,6
80,CHI,243,56583,DET,195,6,27,10
81,WAS,243,56586,NYJ,334,6,14,13
82,ARI,175,56587,PIT,183,6,16,8
83,NYG,336,56593,PHI,298,6,25,19
84,MIA,231,56588,TEN,165,6,29,31
85,HOU,355,56584,JAC,307,6,5,4
86,CAR,193,56589,SEA,356,6,30,22
87,SD,189,56590,GB,225,6,26,2
88,BAL,251,56591,SF,297,6,7,28
89,NE,351,56592,IND,288,6,20,12
90,DEN,226,56582,CLE,196,6,24,1
91,BUF,209,56595,JAC,210,7,5,3
92,BAL,117,56607,ARI,175,7,8,28
93,PHI,246,56606,CAR,404,7,22,25
94,NO,243,56597,IND,195,7,20,18
95,ATL,243,56602,TEN,334,7,29,6
96,OAK,175,56604,SD,183,7,2,15
97,DAL,336,56605,NYG,298,7,19,9
98,HOU,231,56599,MIA,165,7,31,4
99,NYJ,355,56600,NE,307,7,12,14
100,PIT,193,56598,KC,356,7,21,16
