team,iteration,away_yds,away_yds_against,home_yds,home_yds_against,yf,ya,total_weeks
ARI,0,,,,,,,
ATL,0,,,,,,,
BAL,0,,,,,,,
BUF,0,,,,,,,
CAR,0,,,,,,,
CHI,0,,,,,,,
CIN,0,,,,,,,
CLE,0,,,,,,,
DAL,0,,,,,,,
DEN,0,,,,,,,
DET,0,,,,,,,
GB,0,,,,,,,
HOU,0,,,,,,,
IND,0,,,,,,,
JAC,0,,,,,,,
KC,0,,,,,,,
MIA,0,,,,,,,
MIN,0,,,,,,,
NE,0,,,,,,,
NO,0,,,,,,,
NYG,0,,,,,,,
NYJ,0,,,,,,,
OAK,0,,,,,,,
PHI,0,,,,,,,
PIT,0,,,,,,,
SD,0,,,,,,,
SEA,0,,,,,,,
SF,0,,,,,,,
STL,0,,,,,,,
TB,0,,,,,,,
TEN,0,,,,,,,
WAS,0,,,,,,,
ARI,1,,,,,,,
ATL,1,,,,,,,
BAL,1,,,,,,,
BUF,1,,,,,,,
CAR,1,,,,,,,
CHI,1,,,,,,,
CIN,1,,,,,,,
CLE,1,,,,,,,
DAL,1,,,,,,,
DEN,1,,,,,,,
DET,1,,,,,,,
GB,1,,,,,,,
HOU,1,,,,,,,
IND,1,,,,,,,
JAC,1,,,,,,,
KC,1,,,,,,,
MIA,1,,,,,,,
MIN,1,,,,,,,
NE,1,,,,,,,
NO,1,,,,,,,
NYG,1,,,,,,,
NYJ,1,,,,,,,
OAK,1,,,,,,,
PHI,1,,,,,,,
PIT,1,,,,,,,
SD,1,,,,,,,
SEA,1,,,,,,,
SF,1,,,,,,,
STL,1,,,,,,,
TB,1,,,,,,,
TEN,1,,,,,,,
WAS,1,,,,,,,
ARI,2,,,,,,,
ATL,2,,,,,,,
BAL,2,,,,,,,
BUF,2,,,,,,,
CAR,2,,,,,,,
CHI,2,,,,,,,
CIN,2,,,,,,,
CLE,2,,,,,,,
DAL,2,,,,,,,
DEN,2,,,,,,,
DET,2,,,,,,,
GB,2,,,,,,,
HOU,2,,,,,,,
IND,2,,,,,,,
JAC,2,,,,,,,
KC,2,,,,,,,
MIA,2,,,,,,,
MIN,2,,,,,,,
NE,2,,,,,,,
NO,2,,,,,,,
NYG,2,,,,,,,
NYJ,2,,,,,,,
OAK,2,,,,,,,
PHI,2,,,,,,,
PIT,2,,,,,,,
SD,2,,,,,,,
SEA,2,,,,,,,
SF,2,,,,,,,
STL,2,,,,,,,
TB,2,,,,,,,
TEN,2,,,,,,,
WAS,2,,,,,,,
ARI,3,,,,,,,
ATL,3,,,,,,,
BAL,3,,,,,,,
BUF,3,,,,,,,
CAR,3,,,,,,,
CHI,3,,,,,,,
CIN,3,,,,,,,
CLE,3,,,,,,,
DAL,3,,,,,,,
DEN,3,,,,,,,
DET,3,,,,,,,
GB,3,,,,,,,
HOU,3,,,,,,,
IND,3,,,,,,,
JAC,3,,,,,,,
KC,3,,,,,,,
MIA,3,,,,,,,
MIN,3,,,,,,,
NE,3,,,,,,,
NO,3,,,,,,,
NYG,3,,,,,,,
NYJ,3,,,,,,,
OAK,3,,,,,,,
PHI,3,,,,,,,
PIT,3,,,,,,,
SD,3,,,,,,,
SEA,3,,,,,,,
SF,3,,,,,,,
STL,3,,,,,,,
TB,3,,,,,,,
TEN,3,,,,,,,
WAS,3,,,,,,,
ARI,4,,,,,,,
ATL,4,,,,,,,
BAL,4,,,,,,,
BUF,4,,,,,,,
CAR,4,,,,,,,
CHI,4,,,,,,,
CIN,4,,,,,,,
CLE,4,,,,,,,
DAL,4,,,,,,,
DEN,4,,,,,,,
DET,4,,,,,,,
GB,4,,,,,,,
HOU,4,,,,,,,
IND,4,,,,,,,
JAC,4,,,,,,,
KC,4,,,,,,,
MIA,4,,,,,,,
MIN,4,,,,,,,
NE,4,,,,,,,
NO,4,,,,,,,
NYG,4,,,,,,,
NYJ,4,,,,,,,
OAK,4,,,,,,,
PHI,4,,,,,,,
PIT,4,,,,,,,
SD,4,,,,,,,
