week,home_team,spread
1,NE,-9
1,BUF,-8
1,WAS,+1
1,DET,+1.5
1,CHI,+7
1,TEN,-2
1,HOU,-5.5
1,CLE,+8.5
1,CIN,-3
1,MIA,+2.5
1,LAR,-3.5
1,SF,+5.5
1,GB,-3
1,DAL,-3.5
1,MIN,-3.5
1,DEN,-3.5
2,CIN,-4
2,BAL,-8
2,IND,+7
2,KC,-5.5
2,NO,+6.5
2,JAC,+1.5
2,PIT,-6
2,CAR,-7
2,TB,-7
2,OAK,-13.5
2,LAC,-4
2,LAR,-2.5
2,DEN,+2
2,SEA,-13.5
2,ATL,-3
2,NYG,-3
3,SF,+3
3,JAC,+3.5
3,CAR,-5.5
3,NE,-14
3,BUF,+3
3,CHI,+7.5
3,MIN,+2.5
3,IND,+1.5
3,PHI,-6
3,NYJ,+6
3,DET,+3
3,TEN,-2.5
3,LAC,+3
3,GB,-9
3,WAS,+3
3,ARI,+3
4,GB,-7
4,MIA,+3
4,DAL,-6.5
4,HOU,+1.5
4,NYJ,+3.5
4,ATL,-8
4,BAL,+3
4,CLE,+3
4,MIN,-2
4,NE,-9
4,TB,-3
4,LAC,-1.5
4,ARI,-7
4,DEN,-3
4,SEA,-13
4,KC,-7
5,TB,+5.5
5,IND,-1.5
5,CLE,-0.5
5,PIT,-8.5
5,DET,-2.5
5,NYG,-3.5
5,MIA,+3
5,PHI,-6.5
5,CIN,-3
5,LAR,-1
5,OAK,-2.5
5,DAL,-2
5,HOU,+1
5,CHI,+3
6,CAR,-3
6,NYJ,+9.5
6,HOU,-9.5
6,BAL,-6.5
6,ATL,-12
6,WAS,-10
6,NO,-4.5
6,MIN,+3
6,JAC,-2.5
6,ARI,+1.5
6,KC,-4
6,OAK,-3.5
6,DEN,-12
6,TEN,-6.5
7,OAK,+3
7,CHI,+3
7,CLE,+6
7,GB,+4.5
7,LAR,-3.5
7,MIA,-3
7,MIN,-5.5
7,BUF,-3
7,IND,+3
7,SF,+6
7,PIT,-5.5
7,NYG,+4
7,LAC,-0.5
7,NE,-3.5
7,PHI,-4.5
8,BAL,-3
8,CLE,+9.5
8,BUF,-2.5
8,CIN,-10
8,NE,-7.5
8,NYJ,+4
8,TB,-2.5
8,NO,-9
8,PHI,-13
8,SEA,-5.5
8,WAS,+2.5
8,DET,+3
8,KC,-7.5
9,NYJ,+3.5
9,HOU,-6.5
9,TEN,-3.5
9,CAR,+2
9,NO,-6.5
9,NYG,+3.5
9,JAC,-5.5
9,PHI,-7.5
9,SF,+2.5
9,SEA,-7
9,DAL,-2.5
9,MIA,+3
9,GB,+2.5
10,ARI,+6 
10,TB,+2.5 
10,TEN,-4.5 
10,CHI,-5.5 
10,JAC,-3.5 
10,BUF,+3 
10,WAS,+1 
10,DET,+12.5 
10,IND,+10 
10,LAR,-11.5 
10,ATL,-3 
10,SF,+2.5 
10,DEN,+7.5 
10,CAR,-9 
11,PIT,-7
11,CHI,+3
11,NO,-7.5
11,MIA,-0.5
11,GB,+2
11,NYG,+10
11,CLE,+7.5
11,HOU,-1.5
11,MIN,-2.5
11,LAC,-4.5
11,DEN,-2.5
11,OAK,+6.5
11,DAL,+4.5
11,SEA,-3
12,DET,+3
12,DAL,+1
12,WAS,-7
12,KC,-10
12,PHI,-13.5
12,NYJ,+4.5
12,ATL,-10
12,CIN,-8
12,NE,-16.5
12,IND,+3.5
12,SF,+7
12,LAR,-2.5
12,OAK,-5
12,ARI,+4.5
12,PIT,-14
12,BAL,-7
13,DAL,+2
13,BAL,-2.5
13,JAC,-9.5
13,TEN,-6.5
13,GB,+1
13,ATL,-3
13,CHI,-3
13,BUF,+9
13,NYJ,+3.5
13,MIA,+1.5
13,LAC,-13.5
13,NO,-4
13,OAK,-9
13,ARI,+7
13,SEA,+6
13,CIN,+5.5
14,ATL,-2.5
14,CIN,-6.5
14,NYG,+3.5
14,CLE,+3
14,HOU,-2.5
14,CAR,+2.5
14,BUF,-3
14,TB,-0.5
14,KC,-4
14,LAC,-6
14,DEN,+1
14,ARI,+3
14,JAC,-2.5
14,LAR,-2.5
14,PIT,-5
14,MIA,+11
15,IND,+2.5
15,DET,-5.5
15,KC,+1.5
15,NO,-16
15,WAS,-4.5
15,NYG,+7.5
15,CAR,-3
15,CLE,+7
15,MIN,-10.5
15,JAC,-11
15,SEA,-2
15,PIT,+3
15,SF,-2
15,OAK,+3
15,TB,+6
